"","date","source","Pras","Lut","Fuco","Perid","Allo","But_fuco","Hex_fuco","Zea","Tot_Chl_b","DP","Tot_Chl_a","TChl","Chl_c1c2","Chl_c3","DP2","micro","nano","pico","time_month"
"36",1999-02-10,"MOTE",NA,NA,0.561780869324556,NA,NA,NA,0.0595057075577041,NA,NA,NA,NA,NA,0.430112633136555,0.369172436061593,NA,NA,NA,NA,"02-1999"
"37",1999-03-04,"MOTE",NA,NA,0.0189517254281555,NA,NA,0.0298798699405293,0.0454838583207278,NA,NA,NA,NA,NA,0.0230712341744732,0.0401162072476969,NA,NA,NA,NA,"03-1999"
"38",1999-04-07,"MOTE",NA,NA,0.082747501812121,NA,NA,0.0242095811078273,0.0654793004910542,NA,0.0269610832571133,NA,0.166899110337487,NA,0.0882395598360378,0.10480522743262,NA,NA,NA,NA,"04-1999"
"39",1999-05-06,"MOTE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05-1999"
"40",1999-06-08,"MOTE",NA,NA,0.0625353700341372,NA,0.00476829268292683,0.0146798864171423,0.0542589892567728,0.0157641413014861,NA,NA,0.34615294913263,NA,0.051820887989268,0.0349641847179391,NA,NA,NA,NA,"06-1999"
"41",1999-07-15,"MOTE",NA,NA,0.169077131219359,NA,NA,0.030226402064989,0.0780446089283475,0.0352010073015075,NA,NA,0.298449787389046,NA,0.106123665828523,0.121727320294661,NA,NA,NA,NA,"07-1999"
"42",1999-08-11,"MOTE",NA,NA,0.228415518844447,NA,NA,0.045225614597923,0.093712797999124,0.0212041245962285,NA,NA,0.28093842781542,NA,0.121915316191903,0.270696429475952,NA,NA,NA,NA,"08-1999"
"43",1999-09-14,"MOTE",NA,NA,0.105791134317977,NA,NA,0.0151741814736641,0.0461066977999586,0.0167193624102862,0.0391195652173913,NA,0.227152108254911,NA,0.0624510170435606,0.0828075765230571,NA,NA,NA,NA,"09-1999"
"44",1999-10-05,"MOTE",NA,NA,0.0135128090946277,NA,NA,0.0122887336831329,0.0230706774067511,0.0283915484978447,0.0653487434575179,NA,0.115801561705242,NA,NA,0.0604041649409017,NA,NA,NA,NA,"10-1999"
"45",1999-11-04,"MOTE",NA,NA,0.00822016151871611,NA,NA,0.00716002985855642,0.0115323330503542,0.0277021449981738,0.0283421613104085,NA,0.0727767594830158,NA,NA,0.0165,NA,NA,NA,NA,"11-1999"
"46",1999-12-07,"MOTE",NA,NA,0.00615347194536477,NA,NA,0.00578556707680207,0.01547083514385,0.0337273040040615,0.0442170921529708,NA,0.0872692458152023,NA,NA,NA,NA,NA,NA,NA,"12-1999"
"47",2000-01-11,"MOTE",0.00634640505243721,NA,0.0805538590962827,NA,0.00911512543090665,0.0145945925639766,0.0346404842384701,0.033512405135673,0.0677266517057373,NA,0.305636143195745,NA,NA,0.0519387755102041,NA,NA,NA,NA,"01-2000"
