date,time_month,year,month,upwelling,ui,Isotherm_21,sst,temp_50m,euphotic_depth_obs,MLD,depth_cutoff,cutoff_source,TotChlA_mmolN,micro_mmolN,nano_mmolN,pico_mmolN,micro_frac,nano_frac,pico_frac,size_centroid,size_shannon,nbss_slope,n_hplc_samples,NO3_mmolN,PON_mmolN,PP_mgC_m2_d,Temp_C,n_niskin_samples,FN_mmolN_m2_d,zoo_gt200_mmolN,zoo_gt500_mmolN,n_zoo_samples,export_flux_mmolN,export_flux_C,trap_CN,export_flux_corrected_mmolN
1997-11-01,11-1997,1997,11,relaxed,relaxed,69,26.611454545454546,23.252,48.5,18,48.5,observed,0.19172976717742177,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3768230541271416,5.481855116605006,600.4614235765195,25.264015607639266,1,1.1731976839286877,NA,NA,NA,0.9757026248780372,7.576388310715177,7.725065659509086,3.640186730188506
1997-12-01,12-1997,1997,12,upwelling,moderate,46,24.969545454545454,20.767,34,14,34,observed,0.3579457060216121,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.6818726964051283,11.819867813784562,1385.3948200181908,23.158664417850726,1,3.4172146589463313,NA,NA,NA,0.9281073748839866,7.160103238697862,7.602042398634586,4.696365763375524
1998-01-01,01-1998,1998,1,upwelling,weak,91,24.85309090909091,21.933,33,21,33,observed,0.3128826270959014,0.13615382510909457,0.10220306684217571,0.07452573514463112,0.4351594282266179,0.3266498616135997,0.23819071015978238,0.9963092675204172,1.0692771541708543,0.13086178909425067,1,NA,10.550400146455098,1278.5160879124985,23.97698078868516,1,2.935602937781862,NA,NA,NA,0.3807619999524048,2.9417478422557104,7.24975855465823,1.9767021717266997
1998-02-01,02-1998,1998,2,upwelling,weak,91,25.86090909090909,21.96,NA,23,44.930437224522585,isotherm_chl_model,0.1991445617882157,0.12242746770739468,0.040089527527748935,0.036627566553072095,0.614766813655663,0.20130867329625077,0.1839245130480862,1.2301828500611585,0.9331989273884184,0.26203540024027494,1,1.0103025027246375,11.34369863302314,527.5323807286304,24.33601387517325,1,1.111992494621861,NA,NA,NA,0.39266081245091744,2.872366996919491,7.337222129714428,1.5642648557693621
1998-03-01,03-1998,1998,3,upwelling,moderate,41,22.452545454545454,20.087,14.5,38,14.5,observed,2.473664674322232,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.3268395865138125,30.99242991792831,3563.918475859891,22.195149287861444,1,9.690340985624044,NA,NA,NA,1.7491254372813592,13.32112230455416,7.617478590753089,18.38822504904243
1998-04-01,04-1998,1998,4,relaxed,relaxed,88,26.16918181818182,22.227,45,13,45,observed,0.2359936246852607,0.06505615624178995,0.09717077355498357,0.07376669488848724,0.27566912592894766,0.4117516889898107,0.3125791850812419,0.7624304903012877,1.0840736845454833,-0.027285962690295484,1,1.3778413255387776,7.210354402891271,316.08745631039176,23.93172653712987,1,0.6515195204943713,NA,NA,NA,0.6196901549225388,4.7722920656065275,7.674137374073767,2.4654196906084462
1998-05-01,05-1998,1998,5,NA,NA,NA,NA,NA,NA,NA,NA,no_prediction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998-06-01,06-1998,1998,6,relaxed,relaxed,116,25.907,23.526,45,18,45,observed,0.3276986662893724,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.389234628900708,8.08657134599542,1227.104738176015,24.779023698388976,1,2.6171321232158156,NA,NA,NA,0.69608053116299,6.244276080259762,9.225787472594567,2.7693366340359846
1998-07-01,07-1998,1998,7,upwelling,weak,73,24.797363636363634,21.535,41.5,14,41.5,observed,0.23088809195074922,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.911932675681565,8.323322510652696,425.6018654089743,23.087436113937567,1,0.9766173305667972,NA,NA,NA,0.6187382499226578,5.050925540476785,8.232682541004081,2.6387260113341555
1998-08-01,08-1998,1998,8,relaxed,relaxed,110,28.214727272727274,23.057,48,17,48,observed,0.15075122911507863,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.13259521765061894,7.4976942189535425,530.0762595736128,26.08833646148505,1,0.942328457028281,NA,NA,NA,0.5711429999286072,4.412621763383565,7.774540004995422,2.1498713749716085
