"","Pras","date","Lut","Fuco","Perid","Allo","But_fuco","Hex_fuco","Zea","Tot_Chl_b","DP","Tot_Chl_a","TChl","Chl_c1c2","Chl_c3","source","DP2","micro","nano","pico","micro_abs","nano_abs","pico_abs","time_month","size_centroid","size_shannon","nbss_slope"
"48",NA,2000-01-11,NA,8.05538590962827,0,0.387220611305332,NA,3.46404842384701,NA,NA,NA,30.5636143195745,NA,NA,NA,"MOTE",NA,NA,NA,NA,NA,NA,NA,"01-2000",NA,NA,NA
"49",NA,2000-02-08,NA,9.80387436095256,0,0.328013937495365,1.15745007693244,4.36165104194651,1.16111564382447,NA,NA,33.945642035894,NA,NA,NA,"MOTE",NA,NA,NA,NA,NA,NA,NA,"02-2000",NA,NA,NA
"50",NA,2000-03-09,NA,1.62225970170266,0,0.0285068909228065,NA,1.88348711120955,NA,NA,NA,9.68388595661368,NA,NA,NA,"MOTE",NA,NA,NA,NA,NA,NA,NA,"03-2000",NA,NA,NA
"51",NA,2000-04-11,NA,10.0835323293253,0.206575714714053,0.154709120723112,NA,2.33304716065287,1.44439873669797,3.71874018838872,NA,23.6680883516602,NA,NA,NA,"MOTE",NA,NA,NA,NA,NA,NA,NA,"04-2000",NA,NA,NA
"52",NA,2000-05-11,NA,9.43167477222012,0,0.281041694478865,1.44752178658592,3.80761372089417,NA,6.16990188820306,NA,NA,NA,NA,4.38492481477518,"MOTE",NA,NA,NA,NA,NA,NA,NA,"05-2000",NA,NA,NA
"53",NA,2000-06-06,NA,1.22273816286173,0,0,0.979074217854618,2.93529264262618,NA,4.37540215797663,NA,13.836019882014,NA,NA,2.52812236941721,"MOTE",NA,NA,NA,NA,NA,NA,NA,"06-2000",NA,NA,NA
"54",NA,2000-07-07,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOTE",NA,NA,NA,NA,NA,NA,NA,"07-2000",NA,NA,NA
"55",NA,2000-08-09,NA,1.53550260577319,0,0.0688585715713511,0.75910076328154,2.32224720299985,NA,NA,NA,14.1903187874675,NA,NA,NA,"MOTE",NA,NA,NA,NA,NA,NA,NA,"08-2000",NA,NA,NA
"56",NA,2000-09-12,NA,3.81650475142824,0.506050649124239,0,2.26477498997291,3.80926376127432,3.46179046502453,4.81595373517682,NA,25.5000604299379,NA,NA,2.22879282918716,"MOTE",19.5664924105376,0.311491860007398,0.287759098829416,0.400749041163185,7.9430612536224,7.33787440941457,10.2191247669009,"09-2000",0.710083368297795,1.08821324140733,-0.0547128949455326
"57",NA,2000-10-10,NA,NA,0,0.0747713051466223,NA,2.54427249401453,3.86218863222196,6.33328574320265,NA,15.2685563611843,NA,NA,2.70792825444837,"MOTE",NA,NA,NA,NA,NA,NA,NA,"10-2000",NA,NA,NA
"58",NA,2000-11-03,NA,9.23594317413183,0.38785847426702,0.45079143111447,0.849048718211778,2.71133509826135,2.52715567822644,4.08313183340338,NA,NA,NA,7.83334428581813,NA,"MOTE",23.8779148440893,0.568289166488982,0.167981061622205,0.263729771888812,NA,NA,NA,"11-2000",1.10389994405375,0.972323477144138,NA
"59",NA,2000-12-05,NA,13.7204299899725,0.91341521139151,0.89143680314097,0.992657553865568,4.7249315925215,2.45149025999242,10.9398695964744,NA,NA,NA,12.774827441162,NA,"MOTE",40.6742269981958,0.507292289410653,0.169221540425222,0.323486170164125,NA,NA,NA,"12-2000",0.98314666870011,1.00999909192446,NA
"60",NA,2001-01-11,NA,42.6351403279776,0.761998732864785,0.590209223195074,NA,2.72168448297628,0.630168252880688,5.70425440861665,NA,NA,NA,31.3625096252299,9.78252363107833,"MOTE",NA,NA,NA,NA,NA,NA,NA,"01-2001",NA,NA,NA
"61",NA,2001-02-18,NA,50.8930682261433,2.49020947856736,1.85557440646165,NA,1.28523978425949,1.33787439385855,2.98329780317877,NA,NA,NA,38.806489290912,NA,"MOTE",NA,NA,NA,NA,NA,NA,NA,"02-2001",NA,NA,NA
"62",NA,2001-03-14,NA,78.8287597339938,2.43604888329226,1.79982970005321,0.707622762511389,2.29996117059604,0.699457416410111,3.9120766983493,NA,NA,NA,58.2818778977938,NA,"MOTE",123.384627467387,0.928668202046971,0.0344331101918742,0.0368986877611546,NA,NA,NA,"03-2001",1.6911100637394,0.306471165758312,NA
"63",NA,2001-04-04,NA,15.5091598742002,1.19600220426988,1.15418554203291,1.16237597451474,3.99887101780933,1.18017346109358,6.26828925965545,NA,NA,NA,13.8955349204199,7.00033710736588,"MOTE",37.0781089683531,0.635261052572743,0.166618775358547,0.19812017206871,NA,NA,NA,"04-2001",1.23648142995761,0.907551908320442,NA
"64",NA,2001-05-05,NA,3.17555217876868,1.38623812562424,0.92436287925186,1.22638271487806,5.27108259509652,2.70321899722413,12.2218509370894,NA,NA,NA,7.31385321008428,NA,"MOTE",28.779088686798,0.223499930772466,0.266795333830471,0.509704735397063,NA,NA,NA,"05-2001",0.513135744828984,1.03089149815001,NA
"65",NA,2001-06-10,NA,2.52130526134777,0.658365504508317,0.496548139833728,NA,NA,1.60001532939825,NA,NA,NA,NA,NA,NA,"MOTE",NA,NA,NA,NA,NA,NA,NA,"06-2001",NA,NA,NA
"66",NA,2001-07-10,NA,5.71560924733669,1.27421691336171,0.582230371262647,0.859116101065895,3.92035079408548,1.4285611087302,1.25067132981999,NA,NA,NA,6.72573753721958,4.23168796421479,"MOTE",17.9762698498301,0.548259175508421,0.313128052351328,0.138612772140251,NA,NA,NA,"07-2001",1.20898695282175,0.967002837894473,NA
"67",NA,2006-07-04,NA,1.66987629275319,0.365439598162652,0.0247524752475247,0.556717515017061,1.64334085401365,1.63140315856064,NA,NA,13.4519646549862,NA,NA,1.12049294425491,"HPL",NA,NA,NA,NA,NA,NA,NA,"07-2006",NA,NA,NA
