"","date","Isotherm_21","MLD","sst"
"200",2013-05-09,72,19,25.0802779439531
"201",2013-06-11,111,19,25.8878206378626
"202",2013-07-11,110,16,27.3739541682488
"203",2013-08-13,101,19,25.9947953875664
"204",2013-09-11,126,18,29.1762866558137
"205",2013-10-08,120,15,28.5718159156567
"206",2013-11-13,113,20,27.0901256468608
"207",2013-12-04,110,18,26.4028421139747
"208",2014-01-14,50,24,23.0400066639125
"209",2014-02-04,25,48,21.9104120869964
"210",2014-04-01,42,27,22.7630819641379
"211",2014-05-06,22,19,22.8267029381119
"212",2014-06-13,115,31,24.5669153291076
"213",2014-09-03,119,23,27.1280012451576
"214",2014-10-07,115,18,26.7785002978575
"215",2014-11-12,126,19,27.1168875483977
"216",2014-12-09,121,18,25.9931924755434
"217",2015-02-14,67,15,25.7732068618434
"218",2015-03-10,87,35,23.566554116394
"219",2015-04-14,47,21,23.1716382261275
"220",2015-07-29,62,20,25.070177496462
"221",2015-08-18,58,22,24.5925832934269
"222",2015-09-10,121,26,26.4699962891301
"223",2015-11-16,116,24,25.6283704767837
"224",2015-12-09,119,17,25.4421815032552
"225",2016-01-13,56,26,24.0195149930193
"226",2016-02-04,76,22,24.0181203682707
"227",2016-05-11,142,33,26.2289323028507
"228",2016-12-21,109,38,26.5865813620943
"229",2017-01-17,75,35,24.5065924911543
